"AREA","TAVE","TMAX","TMIN","RF","MWUTM","IW","CHA","CHM","PS","RD","SS","TIME"
"572","基隆",19.9,"32.8/12","12.8/15","222.1","10.9/20.0/2","18.7/260.0/12",80,"34/30",1012.4,19,63.8,"201004"
"573","金門",17.1,"25.2/1","8.2/8","118","10.1/80.0/22","19.2/70.0/22",80,"44/24",1013.7,19,83.3,"201004"
"574","蘭嶼",21.9,"28.2/5","15.7/30","107","23.6/40.0/13","34.9/40.0/30",90,"69/24",977.6,15,80.9,"201004"
"575","馬祖",14.5,"25.8/21","7.3/14","293","11.9/210.0/1","22.3/210.0/1",88,"53/28",1006.7,16,77.2,"201004"
"576","澎湖",21.7,"31.0/21","14.9/8","30.8","9.7/20.0/7","20.2/20.0/24",82,"54/24",1013.9,6,111.4,"201004"
"577","彭佳嶼",19.4,"28.0/22","12.2/15","263.8","17.0/120.0/17","22.9/130.0/17",81,"49/30",1003.8,19,76.1,"201004"
"578","蘇澳",20.7,"30.8/21","14.6/15","188.4","9.2/150.0/21","17.9/30.0/15",81,"28/30",1012.9,21,72.6,"201004"
"579","日月潭",18.5,"27.7/13","12.4/30","185.1","10.1/150.0/20","14.7/150.0/20",84,"43038",903.2,18,99.6,"201004"
"580","臺中",22,"32.4/22","14.1/16","158.4","5.4/30.0/23","10.9/20.0/23",78,"43035",1004.9,16,127.8,"201004"
"581","臺南",23.7,"33.9/13","15.5/16","28.1","9.9/190.0/11","15.8/200.0/11",70,"16346",1011.8,8,154.2,"201004"
"582","臺北",20.7,"33.1/21","13.7/15","112.5","9.7/70.0/13","18.0/60.0/13",78,"33/30",1015.1,18,74,"201004"
"583","臺東",23.5,"33.8/12","17.7/16","45.3","6.9/50.0/13","15.9/40.0/13",76,"49/30",1013.6,12,101.2,"201004"
"584","淡水",19.8,"30.2/12","12.9/16","156.7","7.5/20.0/2","14.3/20.0/13",80,"32/30",1013.6,19,81,"201004"
"585","梧棲",21,"30.9/12","13.5/16","111.9","14.2/10.0/13","22.8/10.0/13",78,"51/27",1012.1,13,120.9,"201004"
"586","宜蘭",20.7,"31.3/22","14.1/15","117.6","7.9/70.0/13","14.1/320.0/9",78,"32/30",1014.7,19,82.6,"201004"
"587","玉山",3.8,"13.7/12","-0.444444444","203","15.3/290.0/15","29.3/290.0/9",81,"43022",643.6,17,141.8,"201004"
"588","竹子湖",16.5,"27.7/21","9.2/15","176.7","10.2/20.0/13","22.0/360.0/13",82,"52/30",946.7,19,74.7,"201004"
"589","阿里山",13.9,"21.0/22","6.8/1","522.7","6.9/270.0/23","19.7/250.0/23",89,"36/20",763.6,14,110.4,"201005"
"590","鞍部",19.3,"27.2/18","13.2/1","235","8.0/350.0/23","22.6/350.0/7",90,"27/25",917.9,17,101.7,"201005"
"591","板橋",25.2,"34.2/22","17.2/1","171.1","5.9/80.0/31","12.0/240.0/23",76,"33/25",1008.1,14,122.8,"201005"
"592","成功",25.7,"32.2/22","20.1/1","198.6","10.6/220.0/23","21.6/170.0/23",83,"20852",1004.9,16,105.4,"201005"
"593","嘉義",26.5,"34.4/22","17.6/1","103.8","9.1/220.0/23","17.5/200.0/23",77,"15950",1006.3,8,181.4,"201005"
"594","大武",26.6,"36.4/22","20.1/1","358.4","7.2/170.0/7","15.2/190.0/23",78,"40/22",1008.3,17,160.8,"201005"
"595","東吉島",25.9,"31.0/10","21.8/1","84","14.8/220.0/23","20.3/260.0/23",82,"63/31",1004.6,5,195.8,"201005"
"596","恆春",27.2,"33.0/27","22.5/24","253.7","7.1/80.0/26","16.4/50.0/1",75,"46/26",1006.5,11,188.2,"201005"
"597","新竹",25,"33.2/26","18.2/1","224","5.5/280.0/22","14.4/90.0/22",77,"49/31",1006,13,135.7,"201005"
"598","花蓮",25.5,"32.0/22","17.6/1","94.8","7.9/30.0/10","12.9/50.0/10",75,"17899",1007.3,13,131.7,"201005"
"599","高雄",27.8,"33.3/27","21.2/1","188","9.4/280.0/23","18.0/270.0/23",75,"16103",1008.8,7,238.6,"201005"
"600","基隆",24.5,"34.2/19","18.8/10","180.2","8.0/40.0/3","13.0/250.0/16",79,"43/26",1006,14,106.6,"201005"
"601","金門",21.8,"32.9/23","16.6/11","183.1","9.0/200.0/23","18.4/210.0/23",83,"50/25",1006.9,14,107.1,"201005"
"602","蘭嶼",24.1,"28.9/16","20.6/1","301.3","21.7/250.0/29","31.2/260.0/23",91,"25934",972.7,16,106.1,"201005"
"603","馬祖",19.6,"27.0/23","14.7/13","141.7","12.3/210.0/22","22.2/210.0/22",90,"23224",1000,18,97.8,"201005"
"604","澎湖",25.2,"32.3/21","19.5/1","71.3","7.4/190.0/22","16.2/250.0/23",85,"56/31",1008.4,12,171.1,"201005"
"605","彭佳嶼",23.2,"29.5/22","18.2/11","143.8","14.9/110.0/3","21.7/280.0/23",82,"20424",997.6,12,133.3,"201005"
"606","蘇澳",24.9,"31.9/22","18.0/1","67","9.0/150.0/4","16.2/60.0/10",79,"50/31",1006.6,17,124.4,"201005"
"607","日月潭",21.4,"30.1/20","14.6/1","238","8.8/230.0/23","21.2/250.0/23",84,"44/20",899.7,14,118,"201005"
"608","臺中",26.6,"34.2/22","19.5/1","145.3","4.6/230.0/22","11.2/230.0/23",75,"44/22",999.4,10,153.5,"201005"
"609","臺南",27.6,"34.8/10","20.7/1","114","9.3/230.0/28","16.2/310.0/23",71,"13912",1006.6,4,203.9,"201005"
"610","臺北",25.5,"34.8/19","18.7/10","183.9","7.6/60.0/12","14.1/150.0/23",75,"37/25",1008.6,14,115.3,"201005"
"611","臺東",26.5,"34.5/22","20.5/1","121.1","6.8/40.0/14","15.4/200.0/23",79,"46/22",1007.8,14,146.2,"201005"
"612","淡水",24.4,"32.6/22","18.1/11","186.9","6.0/20.0/31","16.8/170.0/23",79,"30/25",1007.1,12,137.1,"201005"
"613","梧棲",25.2,"32.4/22","19.9/10","172.1","10.9/360.0/31","22.3/220.0/23",79,"49/26",1006.5,11,153.7,"201005"
"614","宜蘭",24.9,"31.6/19","17.1/1","95","8.5/330.0/29","13.6/330.0/29",79,"43/31",1008.2,14,134.2,"201005"
"615","玉山",5.9,"18.2/19","-0.25","356.1","15.9/250.0/23","33.6/240.0/23",81,"43095",642.8,16,123.1,"201005"
"616","竹子湖",21.1,"29.2/17","14.2/31","166.7","7.1/350.0/23","12.4/350.0/23",82,"32/25",941.8,12,57,"201005"
"617","阿里山",14.5,"21.1/30","6.9/7","457.5","4.7/140.0/22","9.9/260.0/15",93,"47/19",764,19,85.3,"201006"
"618","鞍部",20.5,"27.7/30","13.5/2","584.5","7.4/350.0/5","21.2/140.0/14",92,"42764",917.5,21,54.8,"201006"
"619","板橋",26,"35.3/27","19.0/1","397.1","6.5/80.0/1","12.4/70.0/1",80,"21002",1007,23,96.7,"201006"
"620","成功",27,"33.3/18","21.8/1","73.8","9.8/180.0/26","16.2/180.0/26",83,"20455",1003.9,16,146,"201006"
"621","嘉義",27.7,"36.4/22","20.9/7","269.8","9.4/250.0/22","14.3/240.0/22",80,"50/22",1005.8,14,141.7,"201006"
"622","大武",28,"36.7/18","21.9/1","83.1","7.2/190.0/20","12.5/190.0/20",75,"42/18",1007.4,13,184.2,"201006"
"623","東吉島",27.5,"32.4/30","23.6/4","40.5","15.8/10.0/2","20.2/200.0/25",85,"22647",1003.9,5,158,"201006"
"624","恆春",28,"34.0/30","23.2/3","196.8","9.3/70.0/2","18.7/60.0/2",84,"17533",1006,13,162.8,"201006"
"625","新竹",26.5,"34.1/27","19.2/1","349.1","6.2/280.0/24","16.8/310.0/19",78,"21033",1005.1,15,117.8,"201006"
"626","花蓮",26.5,"32.5/30","20.1/2","61.4","9.0/40.0/5","14.2/50.0/5",79,"18629",1006.2,16,124.4,"201006"
"627","高雄",28.3,"33.2/23","23.8/4","257","6.8/180.0/28","14.4/340.0/15",79,"20699",1008.4,11,186.1,"201006"
"628","基隆",25.6,"33.4/30","19.7/1","321.6","8.5/20.0/4","13.9/330.0/4",83,"20699",1004.9,21,45.9,"201006"
"629","金門",24.3,"31.8/30","16.6/3","187.4","7.9/240.0/14","14.9/80.0/5",88,"19876",1005.2,16,96.2,"201006"
"630","蘭嶼",25.3,"29.9/28","20.3/3","137","22.2/40.0/4","29.1/260.0/11",92,"26877",972.2,11,143,"201006"
"631","馬祖",23.1,"30.5/29","17.3/2","208.9","13.2/210.0/18","24.0/200.0/18",89,"23529",998.4,18,73.7,"201006"
"632","澎湖",26.8,"33.1/22","21.8/4","137.1","9.4/20.0/2","16.9/20.0/2",87,"23743",1007.7,11,153,"201006"
"633","彭佳嶼",24.4,"31.4/22","19.7/3","207.8","15.4/280.0/15","22.3/270.0/14",89,"24108",996.8,19,106.2,"201006"
"634","蘇澳",25.8,"32.9/21","18.6/1","208.4","8.5/150.0/9","14.9/30.0/4",83,"61/19",1005.5,20,107.5,"201006"
"635","日月潭",21.6,"29.2/22","17.6/8","474","7.4/280.0/17","15.1/210.0/22",87,"22828",899.6,21,70.3,"201006"
"636","臺中",27.1,"34.3/27","21.0/2","529.9","5.1/10.0/5","11.5/240.0/23",78,"51/19",998.8,17,108.4,"201006"
"637","臺南",28.1,"34.7/22","22.3/3","283.4","8.0/200.0/28","14.0/200.0/28",75,"17046",1006.2,12,165.4,"201006"
"638","臺北",26.2,"35.2/27","19.4/1","419.6","8.4/60.0/1","14.6/70.0/1",82,"19603",1007.6,23,77.8,"201006"
"639","臺東",27.7,"35.2/17","22.2/3","52.9","6.8/210.0/17","12.6/190.0/18",80,"18629",1006.8,11,178.4,"201006"
"640","淡水",25.2,"33.8/26","16.7/1","455","6.5/20.0/4","12.9/30.0/4",85,"15554",1006.2,22,91.6,"201006"
"641","梧棲",26.6,"32.5/17","19.3/3","312.3","12.3/360.0/5","20.4/360.0/5",79,"60/19",1005.7,17,131.7,"201006"
"642","宜蘭",25.8,"33.2/27","17.8/1","154.4","7.1/30.0/21","10.8/30.0/21",82,"21916",1007.2,20,119.3,"201006"
"643","玉山",6.8,"17.4/21","2.6/5","371","13.5/300.0/15","24.9/270.0/15",84,"35/19",643.5,20,107.4,"201006"
"644","竹子湖",22.3,"29.9/22","15.5/1","455.1","6.6/20.0/2","14.9/40.0/2",89,"14977",941.2,22,66.2,"201006"
"645","阿里山",15.1,"22.0/20","11.4/8","858.8","4.3/270.0/28","12.1/260.0/28",91,"18111",765.5,20,125.6,"201007"
"646","鞍部",23.2,"30.5/3","19.8/23","24.6","7.1/190.0/25","18.6/100.0/27",88,"20515",918.2,6,144.7,"201007"
"647","板橋",29.8,"38.2/3","24.4/16","140","8.2/240.0/6","14.7/250.0/6",72,"17227",1006.8,10,222.7,"201007"
"648","成功",28.7,"34.6/2","24.1/24","212.2","10.5/220.0/27","18.3/220.0/27",79,"58/18",1004.3,8,228.3,"201007"
"649","嘉義",29,"35.5/20","24.0/21","459.3","7.9/250.0/5","15.1/220.0/21",79,"18415",1006.4,16,210.7,"201007"
"650","大武",29.1,"39.2/11","23.4/27","233","7.2/150.0/21","14.8/220.0/6",75,"12936",1007.8,13,237.8,"201007"
"651","東吉島",29.2,"33.8/18","24.9/28","195.8","17.0/220.0/27","21.0/220.0/27",82,"61/18",1004.5,9,241,"201007"
"652","恆春",28.6,"33.4/12","24.0/27","381.7","7.7/290.0/5","15.7/290.0/6",82,"60/14",1006.5,16,201.8,"201007"
"653","新竹",29.9,"36.8/3","24.5/28","77.2","6.7/280.0/7","16.8/330.0/4",73,"18050",1005.1,6,250.3,"201007"
"654","花蓮",28.8,"34.6/2","23.9/25","73.7","12.7/180.0/24","16.7/190.0/24",73,"54/16",1006.5,8,260.7,"201007"
"655","高雄",29.5,"35.9/15","24.2/27","437","8.2/180.0/26","14.7/230.0/27",76,"51/15",1009,10,230.5,"201007"
"656","基隆",29.9,"38.1/3","25.3/28","5","8.8/240.0/5","18.5/240.0/28",71,"14305",1004.7,5,219,"201007"
"657","金門",28,"34.6/21","24.7/29","4.4","6.4/200.0/31","14.5/230.0/5",85,"62/24",1004.7,2,254.5,"201007"
"658","蘭嶼",26.2,"30.2/15","22.1/26","207.8","25.3/260.0/5","34.5/250.0/6",90,"28216",972.8,15,186.8,"201007"
"659","馬祖",27.1,"32.3/20","23.8/26","5.9","11.0/200.0/10","18.9/200.0/9",89,"61/14",997.7,4,236.2,"201007"
"660","澎湖",28.6,"36.2/20","23.9/28","95.6","7.6/180.0/26","17.0/250.0/28",84,"54/15",1008,7,240.4,"201007"
"661","彭佳嶼",27.9,"32.1/3","23.9/25","38.3","19.9/270.0/4","25.2/280.0/4",86,"65/19",996.9,5,268.1,"201007"
"662","蘇澳",28.8,"33.7/11","24.7/24","31.4","10.0/160.0/24","18.3/140.0/24",77,"51/29",1005.5,7,243.5,"201007"
"663","日月潭",22.8,"30.0/15","18.7/18","407.4","6.2/170.0/14","11.6/260.0/28",85,"62/15",900.5,19,141,"201007"
"664","臺中",29.2,"35.9/18","23.8/14","463.5","6.5/180.0/21","14.3/180.0/21",74,"46/15",999.5,16,179.7,"201007"
"665","臺南",29.3,"36.3/14","24.0/15","501.4","9.9/110.0/15","18.8/110.0/15",72,"47/14",1006.7,12,161.8,"201007"
"666","臺北",30.3,"38.6/3","25.0/28","89.1","7.3/270.0/5","17.0/270.0/6",69,"14671",1007.3,12,176.4,"201007"
"667","臺東",29.3,"34.4/7","24.0/25","184.1","7.2/200.0/28","16.2/210.0/28",77,"19815",1007.4,15,255.6,"201007"
"668","淡水",29.5,"36.9/21","24.9/27","30.5","5.8/150.0/22","12.7/220.0/27",72,"47/18",1006,4,215.3,"201007"
"669","梧棲",29.2,"33.9/6","23.4/28","187.5","9.7/260.0/11","16.2/230.0/7",74,"52/18",1006.2,6,242.2,"201007"
"670","宜蘭",28.9,"34.7/14","24.4/15","65.5","9.2/100.0/22","13.4/110.0/22",76,"56/29",1007.4,9,257.7,"201007"
"671","玉山",8,"18.3/11","3.1/21","429.7","17.5/230.0/27","25.2/220.0/27",74,"12055",645.2,18,177.5,"201007"
"672","竹子湖",25.3,"33.0/3","21.4/27","19.7","4.4/20.0/30","11.8/300.0/4",83,"22706",941.7,9,162.6,"201007"
"673","阿里山",14.9,"22.1/24","9.0/27","366.3","4.8/310.0/1","13.1/320.0/1",90,"56/14",764.7,22,115,"201008"
"674","鞍部",23,"29.8/3","18.7/9","471","10.4/350.0/30","19.7/150.0/6",91,"19784",918,12,139.6,"201008"
"675","板橋",29.7,"38.3/3","23.9/31","343.7","7.5/240.0/30","15.1/60.0/7",72,"18323",1006.7,13,221.4,"201008"
"676","成功",29,"34.4/21","24.8/30","50.2","9.6/40.0/7","20.2/200.0/31",79,"58/27",1004,12,224.8,"201008"
"677","嘉義",28.8,"36.0/14","23.0/26","208.7","7.9/80.0/5","12.4/70.0/5",81,"52/14",1005.3,21,212.1,"201008"
"678","大武",28.9,"36.9/11","23.6/22","139.8","7.2/10.0/22","18.5/30.0/22",77,"15646",1007.4,14,226.1,"201008"
"679","東吉島",29.7,"34.3/21","25.4/29","49.2","12.2/210.0/16","16.3/210.0/16",81,"65/26",1003.5,9,258.7,"201008"
"680","恆春",28.6,"33.1/5","22.8/25","278.3","7.8/100.0/25","15.8/90.0/25",81,"59/27",1005.5,21,186.2,"201008"
"681","新竹",29.6,"36.9/5","23.6/31","130","6.0/20.0/7","14.5/140.0/7",72,"48/20",1004.8,9,240.2,"201008"
"682","花蓮",28.9,"33.6/21","24.3/30","60.2","8.6/40.0/8","13.9/10.0/7",73,"55/27",1006.3,11,253,"201008"
"683","高雄",29.4,"34.4/1","25.3/25","164.7","6.8/150.0/31","13.7/160.0/31",78,"59/18",1007.9,17,216.4,"201008"
"684","基隆",29.3,"36.2/3","24.4/30","242.6","9.4/230.0/30","16.3/240.0/30",75,"18323",1004.8,12,233.9,"201008"
"685","金門",29,"37.0/31","24.6/30","8.4","8.6/70.0/7","19.5/90.0/7",78,"47/22",1004.9,3,259.4,"201008"
"686","蘭嶼",26,"30.2/4","21.4/25","406.2","21.0/40.0/7","31.7/50.0/7",92,"22372",972.2,21,152.8,"201008"
"687","馬祖",28.1,"35.1/9","24.6/31","19.7","9.4/200.0/12","17.7/180.0/14",85,"19603",998.9,3,290.5,"201008"
"688","澎湖",29.3,"34.3/6","25.6/31","8.3","6.5/20.0/8","11.3/10.0/7",82,"58/29",1007,4,259,"201008"
"689","彭佳嶼",28.3,"32.8/12","23.8/31","472.2","24.8/160.0/30","33.7/170.0/31",85,"65/27",996.9,11,274.4,"201008"
"690","蘇澳",28.7,"33.8/9","24.6/30","310.8","8.9/150.0/17","14.0/50.0/8",78,"19238",1005.5,14,234.3,"201008"
"691","日月潭",22.9,"30.8/10","18.6/25","222.3","9.0/280.0/12","14.3/270.0/12",84,"21094",899.7,20,138.2,"201008"
"692","臺中",28.9,"35.6/10","23.4/26","203.5","5.8/180.0/14","12.9/180.0/25",77,"17958",998.9,20,155.9,"201008"
"693","臺南",29.6,"35.4/6","24.9/5","210","7.6/200.0/10","13.7/70.0/5",71,"51/19",1005.6,17,202.6,"201008"
"694","臺北",30,"38.4/3","24.1/30","388.5","7.7/70.0/7","14.5/70.0/7",72,"16346",1007.2,13,212.4,"201008"
"695","臺東",29.4,"34.3/11","25.0/23","137.1","8.6/200.0/31","17.1/200.0/31",75,"55/27",1007,10,243.7,"201008"
"696","淡水",29.3,"37.3/4","23.4/31","196.6","7.1/150.0/6","14.8/160.0/6",74,"17258",1005.8,12,232.9,"201008"
"697","梧棲",29.3,"33.6/22","24.1/31","108.8","11.5/10.0/8","18.8/360.0/8",75,"52/22",1005.3,9,228.8,"201008"
"698","宜蘭",28.8,"35.7/9","24.5/31","151.1","9.7/330.0/9","16.7/90.0/7",77,"18142",1007.3,11,241,"201008"
"699","玉山",7.9,"18.6/14","2.8/26","126","18.6/130.0/7","23.8/130.0/7",79,"43001",644.6,17,173.2,"201008"
"700","竹子湖",25.2,"33.2/3","20.5/31","464.3","6.0/20.0/24","12.9/230.0/30",82,"55/27",941.5,12,185,"201008"
"701","阿里山",14.4,"21.6/5","9.4/12","592.4","11.1/150.0/20","29.6/280.0/19",88,"44/18",764.4,24,103.3,"201009"
"702","鞍部",21.7,"27.5/4","16.9/25","522","16.2/190.0/19","37.8/180.0/19",92,"21276",918.6,14,134.6,"201009"
"703","板橋",28.5,"35.9/22","23.8/21","176.5","10.7/100.0/20","24.8/60.0/19",73,"47/22",1007.8,13,213.8,"201009"
"704","成功",27.2,"33.9/6","23.4/21","701.4","25.6/180.0/19","39.6/190.0/19",81,"55/29",1005.3,15,162.8,"201009"
"705","嘉義",27.5,"34.2/11","22.1/21","252.3","12.7/140.0/19","29.1/110.0/19",84,"20394",1005.9,16,179.3,"201009"
"706","大武",27,"34.2/5","22.5/14","1037.2","9.6/180.0/19","21.6/200.0/19",82,"52/29",1008.7,15,154.6,"201009"
"707","東吉島",28.2,"31.6/3","24.4/9","270.8","30.3/160.0/20","44.0/170.0/20",82,"25294",1004.1,9,215.5,"201009"
"708","恆春",27.4,"32.6/11","23.2/19","847.6","13.2/290.0/19","27.4/280.0/19",83,"53/22",1006.6,20,146.2,"201009"
"709","新竹",28.1,"34.0/8","21.8/18","93.7","8.0/20.0/19","20.4/160.0/19",76,"50/19",1005.7,10,207.3,"201009"
"710","花蓮",27.1,"32.7/7","22.5/20","477.5","30.1/20.0/19","58.4/40.0/19",76,"55/18",1007.6,16,196.3,"201009"
"711","高雄",28.3,"34.8/3","23.0/20","853","15.0/230.0/19","29.5/210.0/19",80,"19419",1008.6,12,169.8,"201009"
"712","基隆",28.2,"35.2/21","23.1/25","519.7","15.7/20.0/19","28.8/160.0/19",75,"49/21",1006.3,11,171.1,"201009"
"713","金門",27.3,"34.1/16","22.9/26","130.5","17.1/110.0/20","31.9/100.0/20",81,"52/19",1006.3,13,167.3,"201009"
"714","蘭嶼",25,"29.8/11","21.5/14","364","33.8/250.0/19","48.7/250.0/19",92,"65/18",973.4,19,151.4,"201009"
"715","馬祖",27.1,"34.4/5","21.1/24","59.8","11.1/50.0/19","26.3/50.0/19",85,"19480",1000.7,13,185.1,"201009"
"716","澎湖",28,"33.0/6","22.9/20","238.9","20.5/140.0/20","38.6/150.0/20",83,"23802",1007.6,7,211.9,"201009"
"717","彭佳嶼",26.9,"31.3/6","23.4/20","73.8","27.0/120.0/19","40.8/140.0/19",84,"69/13",998.5,13,233.6,"201009"
"718","蘇澳",27.6,"32.7/7","23.1/23","311.9","22.4/80.0/19","51.5/50.0/19",77,"19906",1006.9,18,184.1,"201009"
"719","日月潭",22.3,"29.8/8","18.9/12","127.2","10.7/150.0/19","27.9/140.0/19",87,"41/20",899.7,14,120.5,"201009"
"720","臺中",28.1,"34.6/8","23.3/21","328.6","8.9/10.0/19","25.5/10.0/19",77,"49/21",999.4,15,163.8,"201009"
"721","臺南",28.4,"34.2/22","23.3/19","461","18.6/170.0/19","32.8/190.0/19",74,"48/15",1006.2,13,160.4,"201009"
"722","臺北",28.8,"35.7/10","24.3/18","144.2","11.4/90.0/19","27.9/90.0/19",72,"47/22",1008.4,15,201.5,"201009"
"723","臺東",27.6,"33.8/19","22.6/20","779.7","11.9/200.0/19","25.8/200.0/19",79,"48/19",1008.3,15,176.4,"201009"
"724","淡水",27.9,"34.4/2","22.2/25","76.3","9.1/120.0/20","28.3/120.0/19",77,"50/28",1007,11,201.3,"201009"
"725","梧棲",28.1,"34.2/8","23.3/25","97.2","23.9/350.0/19","37.5/360.0/19",77,"57/21",1005.9,13,208,"201009"
"726","宜蘭",27.8,"34.3/10","22.8/25","266.8","16.8/30.0/19","29.8/30.0/19",76,"42/17",1008.6,14,209.5,"201009"
"727","玉山",6.8,"18.1/5","2.4/3","477","33.4/140.0/20","48.6/130.0/20",82,"14/18",643.9,18,127.5,"201009"
"728","竹子湖",23.8,"30.7/4","19.0/25","452.5","6.7/210.0/19","20.5/360.0/19",84,"20180",942.3,15,126,"201009"
"729","阿里山",13.2,"20.7/12","3.3/30","194.4","5.3/160.0/24","14.4/180.0/22",88,"42/30",764.4,13,112.4,"201010"
"730","鞍部",17.7,"26.8/2","9.6/28","1492.5","13.4/350.0/21","32.7/340.0/21",97,"28157",921.2,21,27.7,"201010"
"731","板橋",24.3,"35.0/2","16.4/27","326.4","7.7/80.0/17","15.2/120.0/6",76,"20121",1012.1,17,74.7,"201010"
"732","成功",25.6,"32.2/1","18.4/29","428.1","12.4/10.0/27","23.1/30.0/26",78,"55/30",1007.7,24,122.6,"201010"
"733","嘉義",25.1,"32.7/2","15.1/31","15.8","7.4/360.0/26","15.8/190.0/23",82,"53/24",1008,3,181,"201010"
"734","大武",26,"33.3/24","18.0/30","456.1","9.9/20.0/18","18.1/20.0/18",76,"45/24",1010.7,21,143.3,"201010"
"735","東吉島",25.5,"31.5/2","19.9/29","56","25.9/10.0/26","35.5/360.0/26",78,"20576",1006.1,3,164.9,"201010"
"736","恆春",26.3,"33.0/14","18.3/28","413.4","14.0/40.0/18","27.5/40.0/26",76,"53/30",1007.9,17,134.2,"201010"
"737","新竹",24.3,"33.6/1","16.4/27","80","7.6/50.0/17","20.1/80.0/17",78,"20455",1009.4,11,129.7,"201010"
"738","花蓮",25.1,"31.6/3","17.6/28","629.2","13.6/50.0/26","23.6/40.0/26",74,"47/30",1010.3,15,117.8,"201010"
"739","高雄",27,"32.5/2","19.0/31","175.5","9.3/150.0/22","20.3/150.0/22",76,"50/31",1010.3,9,177.4,"201010"
"740","基隆",24,"32.3/2","17.0/27","506.3","15.7/10.0/21","25.8/10.0/21",79,"54/30",1010.4,21,33.6,"201010"
"741","金門",22.9,"32.8/2","14.1/29","129.6","10.2/60.0/23","22.6/40.0/23",68,"37/31",1010.7,7,119.5,"201010"
"742","蘭嶼",23.6,"28.6/11","18.5/27","839","31.7/20.0/18","47.9/50.0/27",88,"65/25",974.3,21,93.8,"201010"
"743","馬祖",21.4,"29.3/2","13.7/28","50.7","10.8/360.0/22","23.6/360.0/21",77,"16558",1005.8,8,86.3,"201010"
"744","澎湖",25.2,"31.8/3","19.0/29","52.9","14.4/20.0/26","29.4/360.0/26",77,"20180",1010.4,5,127.5,"201010"
"745","彭佳嶼",23.5,"29.8/11","16.9/26","260.9","22.0/60.0/22","32.9/90.0/22",79,"19450",1002,19,85.3,"201010"
"746","蘇澳",23.9,"30.3/2","16.6/27","1861.2","13.4/90.0/21","22.3/30.0/21",82,"56/31",1010.5,25,63.7,"201010"
"747","日月潭",20.7,"29.9/18","12.8/27","9.5","6.3/160.0/22","9.0/150.0/22",85,"47/18",900.8,5,119.9,"201010"
"748","臺中",25.9,"33.2/2","17.2/31","2.1","6.6/30.0/27","15.4/40.0/27",72,"47/31",1001.7,3,165.2,"201010"
"749","臺南",26.3,"33.7/14","17.1/29","69","10.8/160.0/23","19.6/160.0/22",72,"49/30",1008,4,176.9,"201010"
"750","臺北",24.4,"33.8/3","16.8/28","345.4","8.1/70.0/1","15.9/70.0/21",79,"20486",1012.7,19,68.4,"201010"
"751","臺東",25.9,"32.5/2","18.5/28","503.8","8.1/40.0/26","19.3/30.0/26",76,"47/30",1010.6,17,142.8,"201010"
"752","淡水",23.6,"33.2/2","15.5/27","412.6","8.6/20.0/25","21.1/20.0/21",82,"21217",1011.2,17,74.7,"201010"
"753","梧棲",24.7,"31.1/24","17.0/29","0.7","16.9/10.0/26","30.6/10.0/26",75,"53/24",1008.4,4,183.5,"201010"
"754","宜蘭",23.8,"31.9/11","16.4/31","900.8","10.1/50.0/22","16.6/50.0/22",82,"57/31",1012.3,22,74.5,"201010"
"755","玉山",6.2,"17.3/29","0.2/31","159.2","23.7/130.0/22","32.5/140.0/23",73,"14/31",643.8,19,156.7,"201010"
"756","竹子湖",19.8,"29.4/2","11.9/29","1319.4","7.5/20.0/15","18.7/320.0/26",87,"24929",945.1,20,64.8,"201010"
"757","阿里山",10.2,"17.5/6","2.6/26","87.8","4.5/150.0/3","10.0/70.0/13",85,"42765",765,7,136.9,"201011"
"758","鞍部",14.6,"21.0/29","10.3/26","397.5","10.5/160.0/18","21.2/150.0/18",94,"24412",924,20,21.7,"201011"
"759","板橋",21,"27.6/12","15.7/10","84.7","7.7/90.0/12","14.8/60.0/1",74,"18933",1016.4,14,85.9,"201011"
"760","成功",22.5,"28.1/14","16.7/27","79.7","10.2/20.0/25","18.4/40.0/25",74,"16803",1012.3,15,102,"201011"
"761","嘉義",20.9,"28.1/21","13.6/26","40.9","8.0/10.0/25","13.5/10.0/25",83,"46/28",1012.5,6,157.9,"201011"
"762","大武",23.7,"29.1/7","17.3/27","41.8","7.5/40.0/25","16.2/50.0/25",69,"13516",1015.3,8,125.8,"201011"
"763","東吉島",22.2,"25.5/12","19.7/27","25.9","19.6/20.0/25","25.8/20.0/15",73,"15950",1010.7,5,138.7,"201011"
"764","恆春",23.9,"29.0/7","18.5/29","5.4","13.2/40.0/15","28.6/40.0/15",69,"16438",1012,4,138.7,"201011"
"765","新竹",20.9,"28.5/12","13.7/11","26.7","7.5/30.0/3","18.4/70.0/15",76,"17502",1013.3,9,132.3,"201011"
"766","花蓮",21.9,"27.1/19","16.3/10","104.5","10.9/40.0/26","19.0/50.0/26",71,"15342",1015.1,15,93.8,"201011"
"767","高雄",23.7,"29.5/22","18.8/26","13","5.5/310.0/30","9.1/30.0/25",74,"51/30",1014.8,2,172.8,"201011"
"768","基隆",20.9,"26.0/21","15.6/10","304.3","11.6/10.0/25","18.4/20.0/15",76,"52/26",1014.8,20,50.8,"201011"
"769","金門",18.9,"26.4/14","13.3/24","14.2","9.4/70.0/15","19.3/50.0/15",70,"14824",1015.7,4,178,"201011"
"770","蘭嶼",21.1,"25.6/22","17.6/25","154","26.0/20.0/12","36.2/30.0/12",81,"19025",978,21,41.3,"201011"
